id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,price
a50913661,240Nest #4 with view on the Empire State Building,71852500,Olivia,Manhattan,Kips Bay,40.74057,-73.97755,Entire home/apt,30,6,2022-11-29,0.32,3,1,4,,110
a50845735,Boutique Hotel Experience in heart of NYC,49108760,Blue Angel Hotel,Manhattan,Midtown,40.76005,-73.96859,Private room,1,47,2022-09-10,2.55,7,0,27,,270
a20874350,2 Bedroom Williamsburg Apartment w/ office!,13262918,Glenn,Brooklyn,Williamsburg,40.71012,-73.95564,Entire home/apt,30,177,2021-08-31,2.67,1,267,0,,350
a762527704690144014,Wonderful and spacious apt in historic brownstone!,2685753,Renae,Brooklyn,Bedford-Stuyvesant,40.6802086,-73.9327903,Private room,30,8,2023-01-29,2.42,1,28,8,,150
a813103894190242499,Stunning Apartment Near The Subway,391579286,Avraham,Brooklyn,Crown Heights,40.67048717759332,-73.9335122599653,Entire home/apt,1,6,2023-02-26,5.0,4,260,6,,223
a13745575,2 Bedroom Apartment / Prime Williamsburg Location,1571120,Timothy + Katrin,Brooklyn,Williamsburg,40.71224,-73.9624,Entire home/apt,2,176,2023-02-19,2.21,2,1,58,,108
a52704824,Beautiful Private Room in Manhattan Apartment,99991907,Grant,Manhattan,Harlem,40.82082,-73.94755,Private room,1,50,2023-01-29,2.96,1,118,44,,99
a26939557,Dear and Cozy Private Room - Near 2 Metros :),141362503,"Aarron, Scott And Michael",Brooklyn,Williamsburg,40.7047,-73.93676,Private room,2,129,2023-02-15,2.3,4,352,41,,45
a20714088,SPACIOUS CLEAN ROOM 15 MINUTES FROM MAIN STREET,90893179,Sandra,Queens,College Point,40.77855,-73.83217,Private room,30,67,2022-07-03,1.0,1,89,1,,56
a20501444,Harlem Comfort Blend,101720883,Jean,Manhattan,Harlem,40.81925,-73.94639,Private room,30,24,2018-05-26,0.36,1,0,0,,56
a39572,1 br in a 2 br apt (Midtown West),169927,Hubert,Manhattan,Hell's Kitchen,40.76203,-73.98869,Private room,30,44,2019-01-03,0.29,2,187,0,,139
a52169215,Sonder Duane Street | Queen Room,219517861,Sonder (NYC),Manhattan,Tribeca,40.71513,-74.00808,Private room,2,13,2023-02-10,0.77,76,300,8,,208
a222913,Cozy two bedroom in L.E.S.,1157620,Rachel,Manhattan,Lower East Side,40.71254,-73.98352,Entire home/apt,30,230,2022-01-03,1.68,1,365,0,,220
a568102127919279294,Lovely n comfortable Room,150428984,Fazia,Bronx,Hunts Point,40.81216,-73.88793,Private room,3,19,2023-01-28,1.56,5,361,19,,50
a741338520506054062,HUGE New Downtown NYC APT near JFK/LGA/UBS Arena,484287403,Urmny,Queens,Jamaica,40.69074,-73.79773,Entire home/apt,1,14,2023-02-11,3.68,3,356,14,,204
a34569454,Surf-N-Sleep By the Sea Studio,260842282,Andy,Queens,Arverne,40.59125,-73.79622,Private room,2,54,2021-12-31,1.17,1,186,0,,110
a32798710,Private Rm Easy Parking Queen Bed 1 -2ppl,211136294,Sharon Nancy Chano,Bronx,Schuylerville,40.8366813659668,-73.83421325683594,Private room,1,48,2020-04-18,1.03,6,33,0,,74
a2334411,Amazing Harlem Apartment with Backyard!!!,11280333,Yacine,Manhattan,Harlem,40.80921,-73.94334,Entire home/apt,30,103,2022-12-07,0.99,1,90,2,,101
a19766791,Room near City College & Columbia University (3),38815234,Viviana,Manhattan,Harlem,40.82578,-73.94226,Private room,30,64,2023-01-06,0.94,3,364,2,,55
a54129100,Lovely Spacious 1Bedroom Apartment in the Bronx!,178435649,Shanna,Bronx,East Morrisania,40.83555,-73.88589,Entire home/apt,2,14,2023-01-01,1.05,2,365,11,,156
a692854706315609459,Private 3 bedroom apartment,404412943,Walter,Queens,Corona,40.75233,-73.85232,Entire home/apt,2,22,2023-03-01,3.71,1,264,22,,153
a54167112,Lovely studio apartment steps from Ft Greene Park,125598078,Ian,Brooklyn,Fort Greene,40.69006,-73.97348,Entire home/apt,29,7,2023-02-20,0.57,1,161,6,,128
a36794104,Beautiful tranquil Greenpoint two bedroom,276558543,Ashley,Brooklyn,Greenpoint,40.72422,-73.95021,Entire home/apt,2,34,2023-01-01,0.78,1,17,4,,195
a9769817,Eclectic space in Prime Williamsburg,50374022,Elana,Brooklyn,Williamsburg,40.71162,-73.9639,Entire home/apt,30,13,2017-01-02,0.15,2,0,0,,125
a637682857782165510,Master bedroom with private bath in a duplex,25602048,Shahrzad,Brooklyn,Bedford-Stuyvesant,40.68798,-73.94847,Private room,3,9,2022-12-26,1.0,1,0,9,,125
a38382611,Spacious and Beautiful 1 Bedroom Apartment in LIC,95994558,Sheena,Queens,Astoria,40.76793,-73.92834,Entire home/apt,30,7,2019-11-03,0.17,1,0,0,,250
a987616,5 Bdrm Historic Brownstone Triplex,4018660,Emily,Brooklyn,Cobble Hill,40.68759,-73.99754,Entire home/apt,30,12,2016-08-20,0.1,1,0,0,,350
a27458304,Prime East 62nd Street 2 blocks to Central Park,56283770,Lia,Manhattan,Upper East Side,40.76418,-73.96742,Entire home/apt,30,5,2022-08-10,0.12,5,30,2,,132
a28632837,"Room in 3BR/2BA APT, 30th Ave Station 3 mins walk",137358866,Kaz,Queens,Astoria,40.76658,-73.92267,Private room,30,6,2022-12-04,0.2,124,338,4,,60
a245544,NY/ Big Room for 2 near Manhattan,1260921,Victor,Bronx,Kingsbridge,40.8666,-73.90061,Private room,3,114,2022-04-20,0.92,4,159,1,,50
a17791464,Convenient LIC Brownstone,57643057,Daniel,Queens,Long Island City,40.74797,-73.94481,Private room,30,107,2020-03-16,1.48,2,216,0,,65
a28635035,Beautiful Garden Apartment,88111418,Micheline,Queens,St. Albans,40.69107,-73.75468,Entire home/apt,3,56,2023-01-10,1.04,1,326,15,,79
a6181131,"Quiet Room Near RUMC (1st floor, Room 3)",32060911,Ervis,Staten Island,West Brighton,40.63451,-74.11527,Private room,30,19,2022-12-23,0.2,7,303,6,,45
a26897821,River front Brand New upper East side apt,111816745,Dami,Manhattan,Upper East Side,40.76899,-73.94868,Entire home/apt,30,14,2019-12-10,0.27,1,0,0,,140
a14634802,Large Private Bedroom in an Amazing Apartment!,30007302,Etan,Manhattan,Washington Heights,40.83481,-73.93971,Private room,1,25,2017-01-02,0.31,1,19,0,,58
a281756,Authentic NY Charming Artist Loft,1468658,Barbara,Brooklyn,Greenpoint,40.73243,-73.95716,Entire home/apt,7,23,2023-01-03,0.17,1,80,2,,170
a49613696,Large Bedroom w/ En-suite Bathroom & Private Entry,34353017,Jingyi,Staten Island,Tompkinsville,40.62988,-74.08639,Private room,1,66,2023-01-15,3.0,3,178,33,,98
a8533225,Huge Duplex only minutes from NYC,1420715,Omar And Kareema,Brooklyn,Bushwick,40.68933,-73.91848,Entire home/apt,3,272,2023-02-19,3.04,1,235,36,,213
a10835801,Spacious Luxury 1bdrm on Bklyn Waterfront,12353168,Ali,Brooklyn,Williamsburg,40.71916,-73.96283,Entire home/apt,5,21,2021-05-15,0.33,1,0,0,,225
a54111621,Mediterranean Staycation w/ Private Balcony,400891981,Cydia,Brooklyn,East New York,40.65252,-73.88448,Entire home/apt,2,46,2023-02-23,3.38,1,166,39,,209
a582729806646008630,Great 2 bedroom in the heart of astoria,104277076,Eynat,Queens,Astoria,40.757,-73.91568,Entire home/apt,1,38,2023-02-12,3.44,3,123,38,,160
a20651581,Sunset Park Studio,101533618,Jim & Barbara,Brooklyn,Sunset Park,40.6508,-74.00726,Entire home/apt,2,127,2023-02-22,2.16,1,12,38,,121
a51444501,Lovely3-Bedroom Apt in Bushwick,370975408,Erika,Brooklyn,Bushwick,40.6938,-73.90625,Entire home/apt,2,46,2023-02-25,3.24,1,44,39,,212
a53047762,*Updated!* Backyard PrivateTwo Bedroom Macrame,1699871,Chloe,Brooklyn,Bushwick,40.68407,-73.90957,Entire home/apt,3,14,2023-01-02,0.92,4,90,10,,199
a2863589,Entire Private Modern Studio UWS Manhattan,3716641,Ofer,Manhattan,Upper West Side,40.79205,-73.97433,Entire home/apt,30,26,2021-07-12,0.25,6,46,0,,79
a45742660,"(G2)Private roomTsquare,CONTACT FIRST FOR PRICES",125202325,Grayson,Manhattan,Hell's Kitchen,40.76487,-73.99282,Private room,60,5,2022-05-31,0.18,1,284,1,,59
a676271979409880538,Hermoso apartamento renovado,470849793,Dahiana,Bronx,Soundview,40.82409,-73.87636,Entire home/apt,3,35,2023-02-26,4.79,5,223,35,,141
a45515771,Sunny & Spacious Manhattan loft,1364042,Jake,Manhattan,Chinatown,40.71655,-73.99227,Entire home/apt,4,19,2023-01-22,0.65,2,262,6,,234
a35257699,Hell's Kitchen /Times Sq - Comfortable 2 BDR Flat,264962468,Mili,Manhattan,Hell's Kitchen,40.76215,-73.99027,Entire home/apt,2,217,2023-02-16,4.79,1,23,63,,208
a51723013,"Luxury studio apt: cozy, warm, peaceful energy",414053733,Kay,Brooklyn,Bushwick,40.70032707306451,-73.9347824651765,Entire home/apt,3,16,2023-01-03,1.01,1,345,11,,158
a34446565,Beautiful Modern 1BR Condo (Downtown Brooklyn),185364,Odaro,Brooklyn,Clinton Hill,40.69654,-73.97015,Entire home/apt,3,12,2022-09-23,0.26,1,0,3,,135
a31773364,"Room in 4BR1.5BA Apt 4mins> 52 St station, 7 train",137358866,Kaz,Queens,Woodside,40.74527,-73.90885,Private room,30,9,2023-02-28,0.22,124,332,4,,35
a6649555,Amazing 1BR - heart of West Village,20700509,Gunnar,Manhattan,West Village,40.73395,-74.00601,Entire home/apt,30,11,2016-03-19,0.12,1,0,0,,169
a53587023,Exclusive Private Room 823 | Shared Bathroom Only,401202937,Eliza,Manhattan,Midtown,40.74832,-73.98865,Private room,1,20,2023-02-07,1.61,53,215,18,,41
a53934304,Lovely 2 Bedroom with Bonus Room and Backyard,5346874,Joanna,Brooklyn,Bedford-Stuyvesant,40.69334,-73.94493,Entire home/apt,3,45,2023-02-12,3.25,1,173,44,,280
a27919104,Stunning Sun-soaked Rooftop Apt in Prime Harlem,219313,Lucie,Manhattan,Harlem,40.8099,-73.94421,Entire home/apt,30,26,2022-09-17,0.59,1,81,4,,113
a614269,Full Apt! L Train On The Corner!!,3047107,Bradley,Brooklyn,Williamsburg,40.71108,-73.93717,Entire home/apt,30,15,2017-07-29,0.12,1,0,0,,90
a53769584,Cozy Pre-War Apartment in Astoria!,434274067,Marina,Queens,Astoria,40.76798,-73.91133,Entire home/apt,4,47,2023-02-20,3.35,2,41,43,,130
a6225766,Large condo with stunning park views,7702854,Matei,Manhattan,Lower East Side,40.71952,-73.99141,Entire home/apt,30,154,2023-02-19,2.6,1,199,48,,301
a768829390747981746,Cozy Times Square studio flat,1483464,Robert,Manhattan,Hell's Kitchen,40.76375,-73.99304,Entire home/apt,2,10,2023-02-27,3.19,1,117,10,,170
a449034,Spacious Loft 5 min to Union Square,124357,Valeria,Brooklyn,Williamsburg,40.71811,-73.95456,Private room,60,163,2022-04-13,1.24,2,333,1,,78
a684622412185439593,PRIVATE ROOM IN HIP BUSHWICK,472893117,Yesica,Brooklyn,Bushwick,40.68988,-73.90732,Private room,1,38,2023-03-03,5.28,3,90,38,,74
a2754179,Fabulous Apt w/ Gorgeous Bathroom!,13347167,AFI Apartments,Manhattan,Upper East Side,40.77176,-73.95555,Entire home/apt,30,10,2022-08-13,0.13,31,338,2,,93
a693384286886559732,Parlor level 1 bedroom in Park Slope,228858,Jada,Brooklyn,South Slope,40.66097,-73.98383,Private room,2,15,2022-12-30,2.34,3,0,15,,131
a17447150,1 BR Contemporary Luxury Apartment w W/D in UWS,15145088,Izi,Manhattan,Upper West Side,40.78541,-73.97267,Entire home/apt,30,10,2023-01-31,0.14,8,365,2,,150
a32102590,"3 Single Beds, next to Korea-town, Times Square9",211549023,Studioplus,Manhattan,Midtown,40.74772,-73.98682,Entire home/apt,2,128,2023-02-19,2.65,16,325,36,,140
a20204751,Bright 3 bedroom loft in the heart of soho.,10768801,Tom,Manhattan,SoHo,40.72488,-74.00035,Entire home/apt,4,40,2023-01-02,0.59,1,167,12,,1799
a715919836962571232,Private cozy room in heart of Bay Ridge,346772364,Alexander,Brooklyn,Bay Ridge,40.63676,-74.02474,Private room,1,14,2023-02-20,2.51,1,85,14,,55
a561940898657308457,"Cozy Chic 2 Bedroom near JFK, easy street parking",265891670,Llenifer,Queens,Springfield Gardens,40.67991,-73.75518,Entire home/apt,28,33,2023-01-01,2.94,1,365,33,,163
a28891043,☆New renovated apartment in Jackson Heights☆,19303369,Hiroki,Queens,Jackson Heights,40.74908,-73.89389,Entire home/apt,1,41,2023-01-16,0.8,207,24,20,,139
a24970711,Budget Basement,188783370,Faraz,Queens,Flushing,40.73833,-73.80764,Private room,30,8,2018-08-10,0.14,1,0,0,,50
a2297029,large 2bdrm apt - midtown manhattan,10974421,Jj,Manhattan,Hell's Kitchen,40.7631,-73.99009,Entire home/apt,30,8,2016-09-25,0.08,1,0,0,,200
a24609263,Beautiful 2bdr apt in Brooklyn near to everything.,43803591,Anna,Brooklyn,Fort Hamilton,40.61386,-74.03435,Entire home/apt,30,45,2022-09-25,0.76,1,160,2,,120
a20435636,Stay like a local in Willamsburg/Greenpoint - NYC,63043,Tolga,Brooklyn,Greenpoint,40.72734,-73.95116,Private room,30,19,2019-01-21,0.32,1,0,0,,60
a31839994,House with backyard overlooking park,40160805,Kennedy,Queens,Flushing,40.75485,-73.80359,Entire home/apt,4,141,2023-02-19,3.14,1,208,32,,143
a48153843,A+ Location Super Clean  Rooms,166713328,Sara,Queens,Ozone Park,40.67748,-73.85891,Private room,1,10,2022-05-21,0.44,3,0,3,,45
a43745701,Upscale Modern NYC Apartment,105644109,Michelle,Manhattan,Washington Heights,40.83407,-73.94411,Entire home/apt,2,9,2021-05-28,0.31,1,0,0,,100
a507915820116937406,Lovely 1 BR apartment in the heart of Brooklyn,8037917,Caroline,Brooklyn,Williamsburg,40.70738,-73.95213,Entire home/apt,5,13,2023-01-02,0.88,1,283,9,,204
a700060653892730189,Apartment with a view in the heart of Queens,96143211,Marbee,Queens,Jamaica Estates,40.71107,-73.79276,Entire home/apt,1,28,2023-02-26,4.54,1,149,28,,119
a46193211,Special Junior 1 bedroom suite in the heart of NYC,120762452,Stanley,Manhattan,Murray Hill,40.74926,-73.97643,Entire home/apt,30,7,2022-10-02,0.27,83,365,3,,120
a44807786,Lovely comfortable apartment close to 1 & A trains,284790520,Salar,Manhattan,Inwood,40.86018,-73.92916,Entire home/apt,15,12,2022-01-02,0.4,1,0,0,,129
a4643199,NEW! 2-BR Apartment with Tub,13347167,AFI Apartments,Manhattan,Upper East Side,40.77256,-73.95537,Entire home/apt,30,7,2021-12-21,0.09,31,209,0,,145
a40761816,Cozy room near metro,301512484,Helia,Queens,Long Island City,40.75486,-73.92858,Private room,30,5,2020-02-17,0.13,1,0,0,,52
a19160504,Studio Bushwick (shared bathroom apt next door),133975955,Ivanna And Emmanuel,Brooklyn,Bushwick,40.70477,-73.9264,Entire home/apt,30,99,2020-03-17,1.42,2,0,0,,50
a663307301858256854,Comfortable one bedroom,466635999,David,Brooklyn,Kensington,40.63327284359717,-73.97094149231165,Private room,1,13,2023-03-04,9.29,1,224,13,,53
a755267697122482301,Gorgeous 3-Bedroom Apt in Queens (5 mins from JFK),486808291,Camille,Queens,South Ozone Park,40.67224,-73.79033,Entire home/apt,1,12,2023-02-16,3.16,1,179,12,,264
a4659285,Manhattan!  Two Bedrooms Apt. near Subway,23334165,Patricia,Manhattan,Harlem,40.8221,-73.94467,Entire home/apt,30,90,2022-11-06,0.9,3,248,2,,140
a616867664648376188,Lovely 1 bedroom apt with patio by Yankee Stadium,419348361,Daniel,Bronx,Concourse Village,40.82831,-73.91471,Entire home/apt,2,28,2023-02-27,2.77,3,331,28,,111
a8067561,Private room with queen size bed.,19510122,Frank,Brooklyn,Flatbush,40.65462,-73.95953,Private room,30,9,2016-09-11,0.1,1,0,0,,55
a8021914,Manhattan Studio with Huge Garden!,39921605,Rachel,Manhattan,Upper West Side,40.80189,-73.96783,Private room,30,39,2016-12-30,0.43,4,350,0,,166
a21814906,Live/Work East Williamsburg Loft,6502688,Bryan,Brooklyn,Williamsburg,40.70676,-73.93484,Entire home/apt,30,7,2019-02-03,0.11,1,0,0,,125
a526942,Upper East Side Jewel,2205455,Wendy,Manhattan,Upper East Side,40.77712,-73.94755,Private room,14,8,2022-09-21,0.06,1,223,1,,115
a10070693,Convenient Upper East Studio Apt,51651427,Sayaka,Manhattan,Upper East Side,40.76009,-73.96129,Entire home/apt,30,8,2018-01-03,0.09,1,0,0,,119
a722500167179366065,Lovely large 1 bedroom apartment in NYC,123523177,Michelle,Manhattan,Upper West Side,40.79823224648436,-73.96870158612728,Entire home/apt,3,6,2023-01-03,1.35,1,171,6,,200
a28786315,Brooklyn House at 443 Linden Room 3(yellow),216304678,Bryan,Brooklyn,East Flatbush,40.65245,-73.94206,Private room,30,17,2022-11-05,0.32,4,361,3,,47
a575323635538805522,Has a private bathroom and access to the garden.,447914116,Alaric,Brooklyn,Prospect Heights,40.67604,-73.96768,Private room,1,110,2023-02-27,9.35,1,281,110,,120
a19284253,2A,17770287,Nina,Manhattan,Midtown,40.75052,-73.9832,Entire home/apt,60,10,2022-08-14,0.15,12,205,2,,150
a21354840,BRIGHT & CLEAN UNION SQ GEM APT! 700 SQF ALL YOURS,18270371,Ena,Manhattan,Gramercy,40.73286,-73.9854,Entire home/apt,4,26,2022-12-15,0.41,1,6,10,,178
a848220,LUXURY APT w PRIVATE GARDEN NYC UES,4425694,Gregory,Manhattan,Upper East Side,40.76535,-73.95841,Entire home/apt,1,387,2023-02-17,3.13,1,112,71,,206
a54196350,2-Bedroom Apt in Lovely Upper West Side Townhouse,438952657,Gisele,Manhattan,Upper West Side,40.78136,-73.98408,Entire home/apt,30,5,2022-11-25,0.41,35,365,5,,280
a51037782,Beautiful & Cozy 1 bd rm in Historical Bed Stuy!,229149668,Paul,Brooklyn,Bedford-Stuyvesant,40.68342,-73.95422,Entire home/apt,3,33,2023-01-02,1.69,4,320,20,,200
a26925980,Cozy Williamsburg room,38593087,Russell,Brooklyn,Williamsburg,40.7082,-73.96636,Private room,1,160,2023-03-02,2.85,3,12,59,,62
a671147423210893909,New York apartment,466778613,Abdon,Manhattan,East Harlem,40.7896018,-73.9473529,Entire home/apt,2,18,2023-03-01,2.34,1,285,18,,150
a53772521,Himalaya house,435511395,Semo,Queens,Astoria,40.75627,-73.91638,Private room,1,35,2023-01-16,2.37,1,365,30,,200
a26813610,Neat+Nice+Large dining area &  2 min to Subway,19303369,Hiroki,Queens,Woodside,40.74409,-73.90497,Private room,30,9,2022-04-26,0.17,207,53,1,,33
a6988905,A Perfect Midtown Studio (24/hr Doorman),36133913,Matt,Manhattan,Midtown,40.75429,-73.97503,Entire home/apt,30,27,2020-01-01,0.29,1,0,0,,193
a16883129,Charming Studio In Historic Home,26178075,Tricia,Staten Island,Tompkinsville,40.63226,-74.07981,Entire home/apt,2,129,2023-02-13,1.75,1,99,4,,80
a15411988,Honey and milk - A creative studio apartment.,98714463,Georges,Manhattan,Hell's Kitchen,40.76031,-73.99435,Private room,31,123,2022-10-25,1.58,1,173,1,,119
a29898471,☆ Modern 2 BED/2 BATH with Stunning Park Views! ☆,224806557,Daniel,Brooklyn,Greenpoint,40.71922,-73.95386,Entire home/apt,30,6,2020-01-01,0.12,1,0,0,,295
a45697372,138 Bowery-King Suite w. Living Room Space,51548122,Jeniffer,Manhattan,Lower East Side,40.71844,-73.99383,Entire home/apt,15,23,2023-01-28,0.78,48,45,11,,176
a717386065976026543,1 Bedroom studio with backyard patio,347186956,Jody,Brooklyn,East Flatbush,40.654,-73.95193,Private room,1,7,2022-12-04,1.28,1,89,7,,150
a40655748,"Stylish apt w/ private deck, for short & long-term",315313267,Alexander,Manhattan,East Village,40.72754,-73.97739,Entire home/apt,30,7,2020-03-08,0.18,1,0,0,,159
a53726569,Private room w/PRiVATE work space + new furniture,10149317,Lana,Queens,Kew Gardens,40.709068,-73.833115,Private room,7,12,2023-01-18,0.83,19,340,8,,61
a625188519465435165,Quiet Stay in the Heart of Brownstone Brooklyn,3958605,Michelle,Brooklyn,Park Slope,40.67498,-73.98082,Entire home/apt,3,6,2022-09-04,0.72,1,126,6,,400
a728193530651281929,Lovely 1-bedroom rental in Park Slope Brooklyn,18886072,Boris,Brooklyn,Gowanus,40.6692,-73.99067,Private room,2,7,2023-01-02,1.41,1,142,7,,120
a227715,SLEEP 4 APARTMENT  IN BROOKLYN,209460,Marylyn Palmer,Brooklyn,Bedford-Stuyvesant,40.6805,-73.94885,Entire home/apt,30,260,2022-07-13,1.87,4,262,2,,150
a12054516,The Healing Place,39863896,Valerie,Brooklyn,Crown Heights,40.67316,-73.93942,Entire home/apt,3,90,2022-10-22,1.08,1,76,3,,120
a572329233134796177,Unique large house w/ game room & yard near ferry!,83102592,Wanda,Staten Island,St. George,40.64096,-74.08665,Entire home/apt,2,31,2023-02-19,3.14,2,138,31,,239
a31214157,Cozy private room in Manhattan,81764323,Lucas,Manhattan,Kips Bay,40.74421,-73.97702,Private room,30,11,2019-10-27,0.22,2,24,0,,427
a633276,"Jacuzzi Suite, Minutes to Times Sq.",1568517,Karl & Catherine,Queens,Long Island City,40.74629,-73.94591,Private room,1,247,2023-01-01,1.94,2,10,35,,105
a632238458317141450,Rejuvenate House,365141716,Rejvi,Queens,Ozone Park,40.684,-73.84136,Entire home/apt,1,9,2022-11-06,0.97,4,180,9,,130
a34346014,"CLEAN, Crisp, Comfy Large 1 bd in Williamsburg",3203693,David,Brooklyn,Williamsburg,40.71178,-73.95041,Entire home/apt,10,11,2020-08-26,0.25,1,0,0,,75
a43012924,"Brand new 3 bedroom apt, sunny, subway 3 minutes.",75395247,Ramiro,Brooklyn,Williamsburg,40.7074,-73.96202,Entire home/apt,30,8,2023-02-28,0.23,4,250,3,,110
a31494165,Sunny Cosy Private Room Hell's Kitchen & Broadway,33464426,Natasha,Manhattan,Midtown,40.76444,-73.98402,Private room,30,10,2019-08-29,0.2,1,0,0,,90
a561516430288142561,Comfy Private Room in Brooklyn,272763930,Anny And Cesar,Brooklyn,East Flatbush,40.65091,-73.94173,Private room,2,41,2023-01-15,3.23,4,126,39,,69
a179670,High-end doorman bldg in the LES,21475,Milan,Manhattan,East Village,40.72113,-73.98213,Private room,3,128,2022-09-11,0.92,1,81,7,,175
a542618692755798425,Exclusive Private Studio 721 | Private Bathroom,401202937,Eliza,Manhattan,Midtown,40.74645,-73.98667,Private room,1,30,2023-02-20,2.36,53,253,29,,119
a32062843,Cute renovated apartment in the heart of flushing!,91393358,Emma,Queens,Flushing,40.75443,-73.80575,Entire home/apt,3,49,2022-12-14,1.01,1,72,11,,162
a649930539132835017,Sonder The Dutch | Queen Room,219517861,Sonder (NYC),Queens,Long Island City,40.75246,-73.9359,Private room,2,34,2023-02-12,4.13,76,360,34,,140
a25678522,Quiet one bedroom apartment in West Village,660723,Aryuna,Manhattan,West Village,40.73254,-74.00371,Entire home/apt,30,30,2022-07-31,0.52,1,199,2,,242
a30737182,Central Park Charming Home,197082458,Ivy,Manhattan,Upper West Side,40.77762,-73.97656,Entire home/apt,30,22,2020-03-01,0.43,1,0,0,,350
